"Story","Title","Result","Date","Stability","Duration (s)"
"Student CRUD test","This test will create a new student record","SUCCESS","2020-05-19T17:15:28.271+01:00[Europe/London]","0.0","28.54"
"Student CRUD test","This test will Verify if the student is added to the application","SUCCESS","2020-05-19T17:15:57.732+01:00[Europe/London]","0.0","6.04"
"Student CRUD test","Update the student information and verify the updated information","SUCCESS","2020-05-19T17:16:03.826+01:00[Europe/London]","0.0","1.85"
"Student CRUD test","Delete the student and verify if the student is deleted!","SUCCESS","2020-05-19T17:16:05.686+01:00[Europe/London]","0.0","0.28"
